41.6584	 46
44.0345	 47
45.8632	 48
52.7191	 32
53.2811	 27
57.0744	 36
57.2057	 45
59.3	 24
66.9718	 48
73.3759	 26
73.7628	 46
75.0374	 49
75.7307	 45
76.4582	 47
80.4902	 36
84.0375	 26
86.9132	 27
87.159	 32
87.9116	 49
91.6584	 46
93.325	 7
93.325	 1
93.325	 2
93.325	 11
94.0345	 47
95.8632	 48
96.13	 50
101.075	 23
102.719	 32
103.281	 27
103.669	 49
107.074	 36
107.206	 45
112.127	 50
113.625	 24
118.409	 49
121.091	 45
122.831	 48
123.376	 26
125.034	 50
125.124	 47
127.567	 36
131.777	 27
134.537	 26
137.426	 49
137.825	 32
138.382	 46
141.651	 50
141.957	 45
150.278	 36
150.664	 46
152.086	 48
154.156	 32
154.451	 47
157.549	 26
158.132	 50
162.944	 27
165.857	 47
169.584	 46
174.568	 36
175.766	 50
176.807	 45
177.89	 32
179.233	 48
179.936	 26
191.55	 24
192.187	 27
196.074	 45
197.657	 48
199.4	 47
207.509	 46
207.805	 32
210.955	 26
213.439	 36
213.701	 27
222.546	 48
223.12	 46
225.939	 47
231.671	 36
232.726	 32
232.92	 45
235.3	 27
239.184	 26
244.456	 46
248.141	 47
252.319	 45
254.199	 26
257.728	 48
262.603	 27
264.253	 36
267.338	 32
270.56	 45
271.75	 24
273.991	 48
279.48	 47
280.05	 46
281.412	 27
283.958	 32
284.576	 36
286.829	 26
298.061	 48
299.6	 47
300.37	 27
302.297	 45
303.738	 46
306.695	 36
307.854	 32
314.052	 26
320.1	 45
321.523	 47
323.882	 48
324.388	 46
325.037	 49
329.114	 32
332.539	 26
335.436	 27
340.398	 46
343.988	 49
345.243	 45
346.13	 50
346.754	 36
352.071	 36
354.016	 27
354.777	 48
355.875	 24
356.544	 49
359.358	 50
362.726	 26
362.984	 47
364.383	 32
365.364	 47
370.309	 45
370.649	 49
375.217	 48
379.047	 36
379.641	 46
380.13	 27
380.843	 32
381.56	 50
382.908	 26
383.918	 49
394.411	 46
394.6	 50
398.43	 45
399.575	 48
400.671	 47
401.252	 49
402.484	 32
405.464	 26
408.495	 36
411.625	 50
416.194	 27
427.353	 47
427.808	 45
428.942	 46
429.435	 48
430.808	 26
433.972	 32
438.11	 36
438.92	 27
444.6	 24
445.369	 48
449.465	 45
451.541	 26
452.604	 27
454.638	 46
456.758	 47
457.995	 32
461.874	 36
471.856	 47
474.218	 36
476.469	 48
477.512	 46
479.582	 45
479.793	 26
483.817	 32
484.87	 27
493.167	 47
495.359	 45
497.629	 48
501.822	 46
503.798	 32
505.186	 27
506.086	 26
506.102	 36
524.535	 46
525.499	 48
525.71	 47
526.97	 26
530.241	 45
530.423	 32
530.494	 27
532.449	 36
538.485	 48
538.625	 24
550.536	 46
550.543	 45
551.358	 47
552.115	 32
559.251	 26
559.824	 27
561.57	 36
564.783	 45
575.037	 49
579.597	 47
580.96	 48
582.641	 46
585.442	 27
586.273	 26
587.789	 32
588.754	 36
593.35	 7
593.35	 1
593.35	 2
593.35	 11
593.849	 49
596.13	 50
597.842	 32
599.092	 45
599.681	 46
599.748	 27
600.6	 23
602.814	 47
604.009	 48
607.116	 49
608.295	 36
608.736	 50
611.225	 24
617.606	 48
618.047	 26
620.038	 47
621.436	 50
623.205	 27
623.367	 45
631.32	 46
631.806	 36
631.878	 26
637.106	 50
638.062	 32
640.068	 49
640.253	 45
642.325	 47
648.681	 48
649.637	 46
652.76	 50
653.663	 49
657.501	 36
659.777	 27
660.981	 32
663.633	 45
665.64	 26
667.934	 46
668.999	 48
673.817	 47
678.014	 50
682.924	 27
683.582	 36
684.825	 26
686.822	 32
694.023	 45
697.226	 47
700.23	 46
703.556	 48
703.781	 36
707.171	 27
712.856	 26
715.406	 32
720.465	 46
727.784	 45
729.447	 48
730.395	 32
